feature,importance,model
Median,0.3105018041139012,GBM
PC1,0.18770296095723793,GBM
Age,0.1443198741549115,GBM
Mean,0.11510772825227472,GBM
Min,0.051444226500525755,GBM
Minutos_jugados,0.047335798999261366,GBM
Goles_90,0.019230180935198776,GBM
ThroughPasses_per90,0.018765707598201464,GBM
PassAccuracy_pct,0.010602265600515548,GBM
Corners_per90,0.009594297951928383,GBM
PenaltyAreaPasses_per90,0.009485426092557377,GBM
Google_Trend,0.00905145106147483,GBM
Remates_90,0.008567390384795674,GBM
FinalThirdPasses_per90,0.006601525988504116,GBM
Regates_90,0.005756834600676429,GBM
Variance,0.005597961060164051,GBM
Asistencias_90,0.005433141860416022,GBM
Faltas_90,0.005235220410944211,GBM
Max,0.004618882153566939,GBM
Tiros_portería_ptg,0.003817335181857881,GBM
Tarjetas_amarillas_90,0.0034727717363176158,GBM
ProgressivePasses_per90,0.0021825246633679057,GBM
KeyPasses_per90,0.0015323289204385473,GBM
Interceptaciones_90,0.0014651757515479783,GBM
Instagram,0.0013148709276766958,GBM
ShortMedPassAccuracy_pct,0.001263071946903067,GBM
FreeKicks_per90,0.0012583207090763019,GBM
Duelos_aéreos_ganados_ptg,0.001153086856753454,GBM
Twitter,0.0010942340080941258,GBM
Varianza,0.0009273593826119718,GBM
Mediana,0.0008750604901547642,GBM
Height_cm,0.0007918247321758138,GBM
Media,0.0007888380409721788,GBM
Foot,0.0007230816707278401,GBM
LongPassAccuracy_pct,0.0005929663778860586,GBM
Centros_90,0.0005187010096225224,GBM
Máximo,0.0004158455551285924,GBM
Entradas_logradas_ptg,0.0003135929578512954,GBM
Mínimo,0.00029741430789563235,GBM
Tiros_interceptados_90,0.00024891609588359036,GBM
Position,0.0,GBM
Venta,0.0,GBM
Tarjetas_rojas_90,0.0,GBM
PC1,0.25369789233640827,RandomForest
Median,0.21579869376704808,RandomForest
Mean,0.1129170044988142,RandomForest
Age,0.09419934413056974,RandomForest
Min,0.04689863457587884,RandomForest
Minutos_jugados,0.04471189576083117,RandomForest
Goles_90,0.027502490082119073,RandomForest
ThroughPasses_per90,0.01922523206409625,RandomForest
Variance,0.015824805179464652,RandomForest
Max,0.011250158215714842,RandomForest
Tarjetas_amarillas_90,0.00952287812885998,RandomForest
KeyPasses_per90,0.009010230182101356,RandomForest
Regates_90,0.008887365862439748,RandomForest
Remates_90,0.008059445698517907,RandomForest
LongPassAccuracy_pct,0.007849006588101825,RandomForest
Faltas_90,0.007839185426515686,RandomForest
Tiros_portería_ptg,0.007622475017003931,RandomForest
Asistencias_90,0.007142640999412259,RandomForest
Interceptaciones_90,0.006595044169705715,RandomForest
PenaltyAreaPasses_per90,0.006331704853157552,RandomForest
FinalThirdPasses_per90,0.0059940625603332985,RandomForest
Height_cm,0.00523865750570424,RandomForest
PassAccuracy_pct,0.005168517218453657,RandomForest
Duelos_aéreos_ganados_ptg,0.005147767645214971,RandomForest
Google_Trend,0.005001114409605452,RandomForest
ShortMedPassAccuracy_pct,0.004921813111842343,RandomForest
ProgressivePasses_per90,0.004818155590431659,RandomForest
Twitter,0.004498442577578301,RandomForest
Centros_90,0.004004192226205364,RandomForest
Instagram,0.00393526681113559,RandomForest
Mediana,0.003841593367113465,RandomForest
FreeKicks_per90,0.0032854383616930816,RandomForest
Varianza,0.0032768108544458676,RandomForest
Entradas_logradas_ptg,0.0031762637040229635,RandomForest
Media,0.003073275706544919,RandomForest
Mínimo,0.0030357606859503514,RandomForest
Tiros_interceptados_90,0.0030147939290618743,RandomForest
Máximo,0.002899077018744666,RandomForest
Corners_per90,0.0025565530506423692,RandomForest
Tarjetas_rojas_90,0.0010856347363169773,RandomForest
Foot,0.0007452498034488541,RandomForest
Position,0.00039543158874874,RandomForest
Venta,0.0,RandomForest
