model,League,rmse,mae,count
GBM,Bundesliga,14072800.542596905,8864442.900054522,34
GBM,LaLiga,9064735.282784294,6586934.851783664,43
GBM,Ligue 1,8039280.070236741,6648941.968133888,40
GBM,Premier,15550631.801170388,12260118.452936651,28
GBM,Serie A,7894113.319267974,6602259.482045567,49
Linear,Bundesliga,13558583.974637268,9772692.37265812,34
Linear,LaLiga,14816499.586329218,9238564.830764845,43
Linear,Ligue 1,9862576.192629682,8459343.447265489,40
Linear,Premier,18915340.33591262,13922193.130846487,28
Linear,Serie A,11200069.156830607,8580866.702403035,49
RandomForest,Bundesliga,14718981.056178886,9478949.411764706,34
RandomForest,LaLiga,10796243.675435087,7466966.511627907,43
RandomForest,Ligue 1,7852216.750070485,6216319.25,40
RandomForest,Premier,15260044.45032751,12151018.57142857,28
RandomForest,Serie A,7989064.219664815,6675441.020408163,49
