Player,model,residual,prediction,actual,Position,League,Team,Age
Antoine Griezmann,Lasso,-70988710.65843892,49011289.34156107,120000000,1,LaLiga,Barcelona,28
Antoine Griezmann,LightGBM_QR_0.1,-67765286.97848177,52234713.02151823,120000000,1,LaLiga,Barcelona,28
Antoine Griezmann,CatBoost_QR_0.1,-63660176.96676622,56339823.03323378,120000000,1,LaLiga,Barcelona,28
Lucas Hernández,CatBoost_QR_0.5,-53900071.596023604,26099928.403976396,80000000,3,Bundesliga,Bayern München,23
Lucas Hernández,CatBoost_QR_0.1,-53372060.1062324,26627939.893767603,80000000,3,Bundesliga,Bayern München,23
Antoine Griezmann,Linear,-53131193.70273467,66868806.29726533,120000000,1,LaLiga,Barcelona,28
Lucas Hernández,Ridge,-52901586.7413399,27098413.2586601,80000000,3,Bundesliga,Bayern München,23
Lucas Hernández,LightGBM_QR_0.1,-52766084.800099924,27233915.199900076,80000000,3,Bundesliga,Bayern München,23
Lucas Hernández,Lasso,-52688096.737395585,27311903.262604415,80000000,3,Bundesliga,Bayern München,23
Harry Maguire,Ridge,-52411991.24705527,34588008.75294473,87000000,3,Premier,Manchester United,26
Benjamin Pavard,CatBoost_QR_0.9,39733722.16187622,74733722.16187622,35000000,3,Bundesliga,Bayern München,23
Julian Brandt,LightGBM,39869263.503497005,64869263.503497005,25000000,2,Bundesliga,Borussia Dortmund,23
Kieran Trippier,LightGBM_QR_0.9,40761928.42051191,62761928.42051191,22000000,3,LaLiga,Atlético Madrid,28
Benjamin Pavard,RandomForest,42156000.0,77156000.0,35000000,3,Bundesliga,Bayern München,23
Giovani Lo Celso,CatBoost_QR_0.9,43426027.56075977,65426027.56075977,22000000,2,Premier,Tottenham Hotspur,23
Julian Brandt,XGBoost,44578050.0,69578050.0,25000000,2,Bundesliga,Borussia Dortmund,23
Benjamin Pavard,LightGBM_QR_0.5,44877343.99593797,79877343.99593797,35000000,3,Bundesliga,Bayern München,23
Benjamin Pavard,LightGBM_QR_0.9,46629613.45431702,81629613.45431702,35000000,3,Bundesliga,Bayern München,23
Benjamin Pavard,GBM,48597693.280620724,83597693.28062072,35000000,3,Bundesliga,Bayern München,23
Benjamin Pavard,LightGBM,56487831.481821,91487831.481821,35000000,3,Bundesliga,Bayern München,23
