Player,Team,Position,Nationality,Foot,Height_cm,Age,Contract_years,Cost_eur,MarketValue_eur,Venta,Google_Trend,Media,Mediana,Máximo,Mínimo,Varianza,Twitter,Instagram,Minutos_jugados,Duelos_aéreos_ganados_ptg,Entradas_logradas_ptg,Tiros_interceptados_90,Interceptaciones_90,Faltas_90,Tarjetas_amarillas_90,Tarjetas_rojas_90,Goles_90,Remates_90,Tiros_portería_ptg,Asistencias_90,Centros_90,Regates_90,PassAccuracy_pct,ShortMedPassAccuracy_pct,LongPassAccuracy_pct,KeyPasses_per90,FinalThirdPasses_per90,PenaltyAreaPasses_per90,ThroughPasses_per90,ProgressivePasses_per90,FreeKicks_per90,Corners_per90,Player_key,League,Nacionalidad,Continent,PC1,Mean,Variance,Min,Max,Median,Player_pi,Sold_flag
Aarón Martín,Mainz 05,3,Spain,0,180,22,4,6000000,20000000,1,0.01098901098901099,0.1116176246075663,0.03538359788359789,1.111111111111111,0.0,0.1872024937980539,2457.0,14145.0,3035,31.43,20.0,0.33,4.36,0.86,0.09,0.0,0.0,0.5,29.41,0.12,4.42,2.52,80.51,90.5,52.31,0.53,4.33,4.03,0.5,7.68,0.92,2.61,Aaron Martin,Bundesliga,Spain,Europe,-0.867990846364245,0.005600000000000001,3.0417690566037734e-05,0.0,0.03132,0.00432,Aaron Martin,1.0
Aaron Wan-Bissaka,Manchester United,3,England,1,183,21,5,55000000,35000000,1,0.06593406593406594,0.2625739736109111,0.1339285714285714,1.25,0.0,0.3021059134317935,9384.0,64395.0,3356,48.31,21.43,0.4,6.68,0.62,0.11,0.03,0.0,0.19,0.0,0.08,1.77,4.4,75.64,82.79,44.0,0.13,4.37,1.58,0.46,8.61,0.0,0.0,Aaron Wan-Bissaka,Premier,England,Europe,-0.6403519050495003,0.05745185185185185,0.002714930090845563,0.0,0.2016,0.0392,Aaron Wan-Bissaka,1.0
Abdou Diallo,PSG,3,France,0,187,23,5,32000000,35000000,1,0.03296703296703297,0.08437437034998879,0.0732142857142857,0.2222222222222222,0.000967741935483871,0.05888828359362159,0.0,0.0,2513,51.04,0.0,0.36,4.55,0.75,0.04,0.04,0.04,0.29,37.5,0.04,0.9,2.97,90.4,93.58,57.36,0.18,7.2,1.11,0.61,11.1,0.0,0.0,Abdou Diallo,Ligue 1,France,Europe,-0.6701355279522133,0.03028148148148149,0.0006704158770090841,0.0112,0.1792,0.0224,Abdou Diallo,1.0
Ádám Nagy,Bristol City,2,Hungary,1,178,23,3,2000000,2000000,1,0.003968253968253968,0.0130059665279838,0.007067932067932069,0.08333333333333333,0.0,0.01762750472897668,0.0,,1042,35.0,50.0,0.26,5.96,0.78,0.26,0.09,0.0,0.35,50.0,0.0,0.43,1.47,87.18,90.02,51.61,0.17,7.0,1.21,0.26,8.21,0.0,0.0,Adam Nagy,Premier,Hungary,Europe,-0.8566405952615628,0.007166666666666666,3.1917452830188677e-05,0.0,0.0225,0.0045,Adam Nagy,1.0
Ademola Lookman,RB Leipzig,2,England,1,174,21,5,18000000,20000000,1,0.02380952380952381,0.04159600261955135,0.03300653594771242,0.3111111111111111,0.0005263157894736842,0.0464929868870211,57272.0,105654.1666666667,729,33.33,0.0,0.0,3.46,0.99,0.0,0.0,0.0,1.36,27.27,0.25,1.98,6.42,84.71,87.34,25.0,0.86,2.59,1.73,0.62,3.95,0.0,0.86,Ademola Lookman,Bundesliga,England,Europe,-0.7454072917040843,0.026666666666666665,0.0003682075471698112,0.0045,0.09,0.018,Ademola Lookman,1.0
Alberto Cerri,Cagliari,1,Italy,1,194,23,4,9000000,6000000,1,0.002860775588048316,0.00889925772455938,0.003901176948051948,0.1388888888888889,0.0001333333333333333,0.01934910151634624,0.0,54012.94117647059,724,42.11,0.0,0.0,1.37,2.73,0.37,0.0,0.0,2.11,17.65,0.0,0.62,1.99,69.27,71.76,66.67,0.37,1.74,1.49,0.25,1.86,0.0,0.0,Alberto Cerri,Serie A,Italy,Europe,-0.8233342429366498,0.00986666666666667,5.938716981132075e-05,0.0016,0.0368,0.008,Alberto Cerri,1.0
Alessandro Murgia,SPAL,2,Italy,1,185,22,5,4000000,5000000,1,0.003968253968253968,0.007858285714220257,0.006535947712418301,0.05357142857142857,0.0,0.008926905089818176,7650.0,81184.0,1158,30.43,0.0,0.16,3.58,1.24,0.08,0.0,0.0,0.93,25.0,0.23,0.23,1.09,90.73,91.63,74.07,0.0,3.96,0.7,0.39,3.58,1.17,1.48,Alessandro Murgia,Serie A,Italy,Europe,-0.8767806679232168,0.004541666666666667,1.6140919811320753e-05,0.0,0.0225,0.0045,Alessandro Murgia,1.0
Alex Iwobi,Everton,1,Nigeria,1,180,23,5,30400000,25000000,1,0.006993006993006993,0.01245048623404573,0.01070283882783883,0.05128205128205128,0.0008333333333333333,0.009407673951140259,705288.0,1324490.0,2105,17.39,0.0,0.04,2.27,0.34,0.0,0.0,0.13,1.45,41.18,0.26,3.72,5.77,78.33,83.39,52.5,0.9,3.72,5.73,1.37,7.52,0.0,0.04,Alex Iwobi,Premier,Nigeria,Africa,-0.37809287387262724,0.07851851851851853,0.00283549965059399,0.04,0.28,0.08,Alex Iwobi,1.0
Alexander Djiku,Strasbourg,3,France,1,182,24,4,4500000,8000000,1,0.003663003663003663,0.03561092019361427,0.001417786869277226,0.3333333333333333,0.0,0.07210998631840057,4174.0,10732.0,2953,53.71,33.33,0.76,6.52,1.55,0.27,0.03,0.03,0.27,22.22,0.0,0.15,0.82,88.39,92.14,65.09,0.03,3.9,0.49,0.18,7.59,0.0,0.0,Alexander Djiku,Ligue 1,France,Europe,-0.8833312519505766,0.0019199999999999998,7.511909433962265e-06,0.0,0.01404,0.00216,Alexander Djiku,1.0
Alexandre Moreno,Real Betis,3,Spain,0,179,26,5,7000000,12000000,1,0.01098901098901099,0.03598245556105964,0.02638888888888889,0.1428571428571428,0.0,0.03077258382098855,10955.0,38639.0,3316,41.57,13.33,0.11,4.75,1.06,0.14,0.0,0.03,0.62,26.09,0.03,3.58,5.24,74.09,83.49,44.44,0.43,3.42,2.93,0.41,6.65,0.0,0.0,Alexandre Moreno,LaLiga,Spain,Europe,-0.8469512920805766,0.009540740740740739,1.9679440950384336e-05,0.0,0.0224,0.0112,Alexandre Moreno,1.0
